Title,Features.Handheld?,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Genres,Metadata.Licensed?,Metadata.Publishers,Metadata.Sequel?,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Re-release?,Release.Year,Length.All PlayStyles.Average,Length.All PlayStyles.Leisure,Length.All PlayStyles.Median,Length.All PlayStyles.Polled,Length.All PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Polled,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Median,Length.Main + Extras.Polled,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Median,Length.Main Story.Polled,Length.Main Story.Rushed
Golden Axe,True,2,True,True,Action,True,Sega,True,45,0.15,14.95,X360,M,True,2007,1.1833333333333331,3.4333333333333336,1.0,58,0.7,1.3833333333333333,1.7166666666666668,1.5,9,1.0333333333333334,1.1166666666666667,1.2166666666666668,1.0833333333333333,4,1.05,1.15,3.3666666666666667,0.75,45,0.6333333333333333
Cabela's Alaskan Adventures,True,1,True,True,Sports,True,Activision,True,48,0.1,17.95,X360,E,True,2006,20.0,20.0,20.0,1,20.0,20.0,20.0,20.0,1,20.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Castlevania: Order of Ecclesia,True,1,True,True,"Action,Adventure,Role-Playing (RPG)",True,Konami,True,85,0.24,24.95,Nintendo DS,T,True,2008,14.766666666666667,29.28333333333333,13.333333333333334,85,9.166666666666666,24.08333333333333,33.666666666666664,21.6,13,16.416666666666668,14.016666666666667,20.933333333333334,13.983333333333333,51,10.133333333333333,10.833333333333334,14.2,11.0,21,7.6
Field Commander,True,2,True,True,Strategy,True,"Sony,Ubisoft",True,77,0.16,14.95,Sony PSP,T,True,2006,13.883333333333333,14.433333333333334,13.883333333333333,2,13.316666666666666,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,13.883333333333333,14.433333333333334,13.883333333333333,2,13.316666666666666
The Sims 2: Pets,True,1,True,True,Simulation,True,EA,True,57,0.21,17.95,Sony PSP,T,True,2006,27.7,31.55,27.7,2,23.85,0.0,0.0,0.0,0,0.0,27.7,31.55,27.7,2,23.85,0.0,0.0,0.0,0,0.0
Mercenaries 2: World in Flames,True,1,True,True,Action,True,EA,True,72,0.27,15.95,PlayStation 3,E,True,2008,22.866666666666667,37.28333333333333,20.266666666666666,18,14.783333333333331,37.0,43.25,30.0,3,30.75,24.666666666666668,26.33333333333333,24.5,6,22.28333333333333,16.95,19.0,18.0,9,12.733333333333333
Victorious Boxers: Revolution,True,1,True,True,"Action,Simulation,Sports",True,Ubisoft,True,59,0.08,24.95,Nintendo Wii,E,True,2007,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
Orcs & Elves,True,1,True,True,"Action,Role-Playing (RPG)",True,EA,True,68,0.03,14.95,Nintendo DS,T,True,2007,4.883333333333333,5.716666666666667,5.0,7,4.333333333333333,6.5,6.5,6.5,1,6.5,0.0,0.0,0.0,0,0.0,4.6,5.033333333333333,4.666666666666667,6,4.183333333333334
Harry Potter and the Order of the Phoenix,True,1,True,True,Action,True,EA,True,67,0.17,17.95,PlayStation 3,E,True,2007,12.383333333333333,15.65,12.25,25,8.816666666666666,15.2,17.05,15.0,10,14.05,10.0,10.0,10.0,1,10.0,10.533333333333331,14.133333333333333,10.0,14,7.8
Agatha Christie: And Then There Were None,True,1,True,True,Adventure,True,,True,50,0.05,17.95,Nintendo Wii,M,True,2008,7.933333333333334,9.85,7.5,6,6.433333333333334,9.5,10.75,9.5,2,8.25,0.0,0.0,0.0,0,0.0,7.166666666666667,7.916666666666667,7.5,4,6.25
